start_station_name,lat,lng
9 Ave & W 204 St,40.86169883507865,-73.91855701804161
Hanson Pl & Ashland Pl,40.68506807308177,-73.97790759801863
Clinton St & Tillary St,40.696232971293156,-73.99142056703568
Myrtle Ave & Fleet Pl,40.693534,-73.981909
E 85 St & York Ave,40.77536905,-73.94803392
Clinton St & Grand St,40.71559509,-73.9870295
Kingsland Ave & Nassau Ave,40.72577,-73.94173
India St & Manhattan Ave,40.73232194,-73.9550858
E 54 St & 1 Ave,40.756265,-73.964179
Arthur Ave & E Tremont Ave,40.84616,-73.89322
Lefferts Ave & Albany Ave,40.66288,-73.94019
E New York Ave & Troy Ave,40.66227,-73.93762
Ogden Ave & W 165 St,40.834457,-73.928381
3 St & 3 Ave,40.6750705,-73.98775226
W 148 St & Amsterdam Ave,40.827075,-73.945909
65 Pl & 53 Ave,40.73145,-73.90022
Carlton Ave & Dean St,40.6809741,-73.9710097
46 Ave & Junction Blvd,40.74399,-73.86781
E 48 St & 5 Ave,40.75724567911726,-73.97805914282799
64 St & 51 Ave,40.73577,-73.90184
Broadway & W 138 St,40.82182,-73.95353
Wilkins Ave & Crotona Park E,40.835302,-73.895133
Madison St & Evergreen Ave,40.69122,-73.91693
E 35 St & Madison Ave,40.74848023448579,-73.98255586624146
Broadway & Roebling St,40.70924826276157,-73.96063148975372
Central Ave & Starr St,40.700003,-73.92834
55 Ave & 97 Pl,40.73892,-73.86367
Rivington St & Ridge St,40.71850211,-73.98329859
Sunken Meadow Comfort Station,40.79558,-73.91906
Broadway & W 41 St,40.75513557,-73.98658032
Bailey Ave & Sedgwick Ave,40.86571,-73.90857
W 34 St & Hudson Blvd E,40.75516719072139,-74.00059908628464
Broadway & W 38 St,40.7529728216068,-73.98734897375107
W 211 St & 10 Ave,40.86709406268147,-73.9172950387001
Southern Blvd & E 149 St,40.811892,-73.904192
E 78 St & 2 Ave,40.7727966,-73.95577801
Barrow St & Hudson St,40.73172428,-74.00674436
Henry St & Bay St,40.6725058,-74.00494695
E 14 St & Ave B,40.72938685,-73.97772429
E 95 St & 3 Ave,40.7849032,-73.950503
W 92 St & Broadway,40.7921,-73.9739
Dean St & Rockaway Ave,40.67486,-73.91123
Atlantic Ave & Furman St,40.69165183,-73.9999786
Woodward Ave & Harman St,40.70793,-73.91092
W 47 St & 6 Ave,40.758397,-73.98255
E 40 St & Park Ave,40.750756,-73.978326
W 171 St & St Nicholas Ave,40.842941,-73.938631
E 84 St & 1 Ave,40.77565541,-73.95068615
Clarkson Ave & E 40 St,40.65592,-73.94068
Weeks Ave & E 175 St,40.846879,-73.907342
Park Pl & Carlton Ave,40.677358,-73.97211
31 St & Broadway,40.761584,-73.925921
Macon St & Howard Ave,40.68452,-73.92011
Dwight St & Van Dyke St,40.67363551341504,-74.01195555925369
11 St & 43 Ave,40.7519071,-73.9479119
2 Ave & 39 St,40.655722167971554,-74.01000827550888
Central Park S & 6 Ave,40.76590936,-73.97634151
Bergen St & Smith St,40.6867443,-73.99063168
Vyse Ave & E 181 St,40.84463,-73.87988
99 St & 35 Ave,40.75404,-73.86887
25 Ave & 96 St,40.76447,-73.87369
Wythe Ave & Metropolitan Ave,40.716887,-73.963198
Freeman St & Southern Blvd,40.830051,-73.892103
McDonald Ave & Vanderbilt St,40.651654,-73.981231
E 157 St & River Ave,40.825737,-73.927311
44 St & 6 Ave,40.647105,-74.004483
Roebling St & N 4 St,40.71469,-73.95739
Schenectady Ave & Prospect Pl,40.67351,-73.93363
Driggs Ave & Lorimer St,40.72179134,-73.9504154
Hudson St & W 13 St,40.74005708567285,-74.0052741765976
Jerome Ave & E 164 St,40.831444,-73.926226
Hunts Point Ave & Bryant Ave,40.813991,-73.8855
Hudson St & Reade St,40.71625008,-74.0091059
E 141 St & St Ann's Ave,40.808633,-73.916124
Wyckoff Ave & Jefferson St,40.707165,-73.923711
Lorimer St & Broadway,40.70411791,-73.94818595
E 8 St & Caton Ave,40.648055,-73.972432
Andrew Ave N & Hall of Fame Tce,40.85834,-73.91008
E 155 St & Courtlandt Ave,40.82057,-73.917579
Central Park West & W 85 St,40.78476,-73.969862
Cedar Ave & W Fordham Rd,40.86156,-73.91219
46 St & Queens Blvd,40.74349759836971,-73.91860529780388
34 St & 4 Ave,40.655278,-74.003101
Schenectady Ave & Cortelyou Rd,40.64535,-73.93268
58 St & Pier 4,40.646475,-74.026081
Mercer St & Spring St,40.72362738,-73.99949601
Greenpoint Ave & Monitor St,40.73224,-73.94383
Walton Ave & E 151 St,40.82090903827738,-73.92753845245076
S 4 St & Rodney St,40.70934,-73.95608
65 St & 35 Ave,40.75053,-73.8977
99 St & 38 Ave,40.75055,-73.86725
St Johns Pl & Utica Ave,40.6705,-73.9308
Franklin Ave & E 169 St,40.83171,-73.90208
Benham St & Roosevelt Ave,40.74841,-73.8751
24 Ave & 29 St,40.7729,-73.916142
50 Ave & 65 St,40.73707,-73.90077
Park Pl & Utica Ave,40.67242,-73.93094
Fresh Pond Rd & 69 Ave,40.70311,-73.89547
34 St & 5 Ave,40.654098,-74.001131
Leonard St & Nassau Ave,40.7239567849954,-73.94984364509583
11 Ave & Prospect Ave,40.65629,-73.977335
William St & Pine St,40.70717936,-74.00887308
