City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
183,anamalais,10.5833,76.9333,22.38,85,86,2.65,IN,1696551246
184,carbonear,47.7332,-53.2148,8.01,90,84,1.67,CA,1696551247
185,martapura,-3.4167,114.85,26.05,89,11,1.54,ID,1696551131
186,choibalsan,48.0667,114.5,9.21,41,17,2.21,MN,1696551248
187,anadyr,64.75,177.4833,5.28,70,75,5.0,RU,1696551248
188,east london,-33.0153,27.9116,19.7,93,100,3.19,ZA,1696550999
189,valparaiso,-33.0393,-71.6273,11.8,82,40,3.09,CL,1696550923
190,alta,69.9689,23.2717,2.88,73,75,5.66,NO,1696551250
191,nova sintra,14.8667,-24.7167,23.73,75,43,2.38,CV,1696551250
192,pudozh,61.8099,36.5345,7.19,92,100,4.92,RU,1696551251
193,caibarien,22.5206,-79.4669,25.62,84,10,3.49,CU,1696551252
194,wailua homesteads,22.0669,-159.378,30.24,84,100,3.09,US,1696551252
195,hilo,19.7297,-155.09,29.58,70,0,5.66,US,1696550994
196,piti village,13.4626,144.6933,30.17,78,20,5.14,GU,1696551253
197,bredasdorp,-34.5322,20.0403,14.59,91,100,5.78,ZA,1696551126
198,hasaki,35.7333,140.8333,21.27,38,17,9.95,JP,1696551045
199,richards bay,-28.783,32.0377,21.82,89,34,6.03,ZA,1696551254
200,griffith,41.5284,-87.4237,19.96,84,0,2.57,US,1696551151
201,la'ie,21.6477,-157.9253,29.12,69,25,3.29,US,1696551255
202,imola,44.3523,11.7158,18.9,67,92,0.99,IT,1696551256
203,tual,-5.6667,132.75,26.48,80,53,8.77,ID,1696551172
204,zahedan,29.4963,60.8629,22.95,21,0,1.84,IR,1696551099
205,jayapura,-2.5333,140.7,30.66,63,87,0.47,ID,1696551076
206,port saint john's,-31.6229,29.5448,21.32,85,98,0.47,ZA,1696551258
207,puerto madryn,-42.7692,-65.0385,15.67,31,94,10.28,AR,1696551259
208,kuloy,61.0305,42.4925,10.05,93,99,3.09,RU,1696551259
209,turbat,26.0023,63.044,27.54,70,0,0.9,PK,1696551236
